customer_id,full_name,dob,gender,email,phone,address,city,state,pincode,created_at,updated_at
CUST002732,Robert Sloan,1959-08-30,Male,mweaver@example.com,2878467409,3563 Vanessa Burg,Lucknow,Uttar Pradesh,70935,2025-05-23T20:29:48.654870,2025-05-23T20:29:48.654870
CUST001931,Rachel Smith,1968-05-26,Male,wallen@example.org,609.487.0382,270 Gilbert Road Apt. 444,Mumbai,Maharashtra,51603,2022-01-14T11:36:42.594658,2022-01-14T11:36:42.594658
CUST001059,Aaron Banks,2001-11-26,Female,megan08@example.org,+1-970-903-2762x8058,0149 Anderson Lights Apt. 119,Pune,Maharashtra,44521,2024-06-11T17:57:22.952457,2024-06-11T17:57:22.952457
CUST000080,Jessica Robinson,1993-11-27,Male,taylordavid@example.net,(656)252-3413x8999,89836 Lucas Tunnel Apt. 761,Bengaluru,Karnataka,32100,2025-02-07T17:01:15.198406,2025-02-07T17:01:15.198406
CUST003986,Cory Bailey,1963-05-06,Other,steven87@example.com,(817)850-0568,49806 Cheryl Park Suite 456,Ahmedabad,Gujarat,85662,2020-10-09T19:33:56.197631,2020-10-09T19:33:56.197631
CUST003455,Christopher Calhoun,1965-02-26,Other,devinbrown@example.net,437-996-2704x6487,58658 Jason Lane Apt. 062,Delhi,Delhi,59805,2022-05-25T05:43:41.352215,2022-05-25T05:43:41.352215
CUST003901,Jessica Gomez,1996-12-30,Other,ataylor@example.net,(389)600-4337x49737,80319 Stevens Glen,Kolkata,West Bengal,37816,2023-11-30T00:24:00.469376,2023-11-30T00:24:00.469376
CUST002736,Felicia Kelly,1988-10-23,Other,charlesdunn@example.com,001-619-675-1644x78589,762 Julia Stravenue,Pune,Maharashtra,03333,2023-12-05T15:05:16.278838,2023-12-05T15:05:16.278838
CUST000123,Karen Howard,1988-10-01,Male,kathleenhall@example.com,(330)638-5677x005,892 Valdez Lakes Apt. 846,Lucknow,Uttar Pradesh,29716,2025-05-06T01:51:12.898023,2025-05-06T01:51:12.898023
CUST002071,Melinda Armstrong,1978-07-25,Female,dedwards@example.org,001-886-797-2500x6973,949 Melissa Shoals Apt. 151,Ahmedabad,Gujarat,14931,2025-02-12T18:50:42.099659,2025-02-12T18:50:42.099659
CUST000153,  GLENN LONG  ,2005-04-07,Female,christopherreyes@example.net,+1-436-539-2649x578,832 Barker Pine,bengaluru,Karnataka,18228,2025-04-02T01:47:56.237751,2025-04-02T01:47:56.237751
